Source,Target,Type,Id,Label,timeset,Weight
139,141,Undirected,816,,,10
140,141,Undirected,817,,,10
153,150,Undirected,818,,,8
154,150,Undirected,819,,,5
154,153,Undirected,820,,,5
155,158,Undirected,821,,,10
157,155,Undirected,822,,,10
157,158,Undirected,823,,,10
159,165,Undirected,824,,,10
159,160,Undirected,825,,,10
159,161,Undirected,826,,,5
166,177,Undirected,827,,,10
161,178,Undirected,828,,,10
183,186,Undirected,829,,,0.5
183,185,Undirected,830,,,0.5
183,10,Undirected,831,,,0.5
183,184,Undirected,832,,,0.5
187,185,Undirected,833,,,5
187,10,Undirected,834,,,5
187,184,Undirected,835,,,5
191,194,Undirected,836,,,0.5
191,192,Undirected,837,,,8
193,204,Undirected,838,,,2
193,205,Undirected,839,,,2
194,196,Undirected,840,,,8
194,197,Undirected,841,,,8
195,196,Undirected,842,,,5
195,197,Undirected,843,,,5
198,196,Undirected,844,,,5
198,197,Undirected,845,,,5
207,208,Undirected,846,,,8
207,209,Undirected,847,,,8
207,210,Undirected,848,,,8
208,209,Undirected,849,,,8
208,210,Undirected,850,,,8
209,210,Undirected,851,,,8
212,218,Undirected,852,,,8
220,225,Undirected,853,,,5
226,227,Undirected,854,,,10
227,229,Undirected,855,,,10
227,228,Undirected,856,,,10
226,229,Undirected,857,,,10
266,228,Undirected,858,,,10
229,228,Undirected,859,,,10
222,223,Undirected,860,,,5
220,230,Undirected,861,,,5
220,231,Undirected,862,,,5
230,231,Undirected,863,,,10
232,239,Undirected,864,,,5
232,233,Undirected,865,,,0.5
239,233,Undirected,866,,,0.5
237,243,Undirected,867,,,2
237,244,Undirected,868,,,0.5
236,245,Undirected,869,,,2
249,253,Undirected,870,,,8
249,254,Undirected,871,,,8
249,255,Undirected,872,,,8
249,256,Undirected,873,,,8
249,257,Undirected,874,,,8
250,253,Undirected,875,,,8
250,254,Undirected,876,,,8
250,255,Undirected,877,,,8
250,256,Undirected,878,,,8
250,257,Undirected,879,,,8
250,258,Undirected,880,,,5
250,249,Undirected,881,,,10
259,278,Undirected,882,,,4
280,282,Undirected,884,,,10
280,281,Undirected,885,,,10
282,281,Undirected,886,,,10
282,283,Undirected,887,,,10
283,281,Undirected,888,,,10
16,285,Undirected,889,,,0.5
22,285,Undirected,890,,,0.5
15,16,Undirected,891,,,10
15,286,Undirected,892,,,0.5
286,16,Undirected,893,,,0.5
286,22,Undirected,894,,,0.5
286,287,Undirected,895,,,8
